id,author,geometry,pressure [MPa],mass_flux [kg/m2-s],x_e_out [-],D_e [mm],D_h [mm],length [mm],chf_exp [MW/m2]
25334,Thompson,tube,3.83,,0.0449,5.6,5.6,,7.3
15505,Weatherhead,tube,13.79,2021.0,-0.0417,,7.7,457.0,4.5
20004,Weatherhead,tube,,1994.0,0.0334,11.1,11.1,457.0,2.6
15544,,tube,6.89,1546.0,0.0263,12.4,,,5.9
9006,Beus,annulus,8.27,2741.0,0.1219,,,2134.0,2.1
23040,Weatherhead,tube,13.79,2699.0,0.0484,7.7,7.7,457.0,1.9
12201,Janssen,annulus,6.89,3052.0,-0.0237,8.5,24.6,1778.0,8.5
18517,Janssen,annulus,6.85,1519.0,-0.025,12.7,42.3,1778.0,3.9
28052,Thompson,,13.79,2441.0,-0.0444,1.9,1.9,152.0,3.2
24264,Thompson,tube,6.79,3838.0,0.0005,10.8,10.8,432.0,3.6
29717,Thompson,tube,10.96,2712.0,0.1197,11.5,11.5,1524.0,2.7
10693,Thompson,tube,,1233.0,0.0763,7.8,,591.0,2.3
9232,Thompson,tube,10.34,4842.0,-0.0629,,10.3,,3.5
30185,Thompson,tube,6.72,4069.0,-0.0008,10.8,,432.0,4.8
7029,Beus,annulus,,2717.0,0.1282,5.6,15.2,2134.0,1.5
27943,Janssen,annulus,6.89,7107.0,0.0102,6.4,15.9,914.0,3.1
25585,Thompson,,13.79,2143.0,0.0329,7.8,,591.0,2.0
23164,Janssen,annulus,6.89,2278.0,0.1145,12.7,42.3,1778.0,2.9
3484,Thompson,tube,6.89,3784.0,0.0396,,10.8,864.0,1.9
3669,Williams,tube,15.17,2676.0,0.097,9.5,,1836.0,1.2
30798,Thompson,,,3580.0,-0.0416,23.6,23.6,1972.0,6.9
24696,,tube,3.45,7893.0,0.0005,10.3,10.3,,4.6
30125,Janssen,annulus,9.71,5547.0,0.0085,12.7,38.1,,3.2
3765,Williams,tube,8.27,4073.0,0.0863,,9.5,1836.0,2.4
30509,,tube,7.03,4043.0,0.0049,10.8,10.8,1727.0,4.6
2506,,tube,13.79,1085.0,0.0705,4.7,4.7,318.0,2.4
15545,Thompson,tube,6.89,2007.0,-0.0383,12.8,12.8,1930.0,3.2
30297,Thompson,tube,6.89,,-0.0428,10.3,10.3,762.0,7.6
8195,Janssen,annulus,9.65,1519.0,-0.0007,,42.3,1778.0,2.0
8246,Thompson,,13.79,3811.0,-0.0444,1.9,1.9,152.0,3.2
23240,Janssen,annulus,6.89,1519.0,0.1341,8.5,22.3,1829.0,2.1
9679,Janssen,annulus,,2265.0,0.08,8.5,22.3,2743.0,2.5
6639,Weatherhead,,13.79,2007.0,0.1476,,,457.0,2.9
11916,Thompson,,13.79,1313.0,0.0647,5.7,,625.0,2.7
19953,Thompson,tube,13.79,5262.0,-0.0195,5.7,5.7,625.0,5.9
21662,Peskov,tube,,1944.0,-0.0465,10.0,10.0,,5.3
14431,,annulus,6.89,,-0.0298,12.7,,914.0,7.8
10038,Thompson,tube,3.45,,0.1427,10.3,10.3,762.0,4.8
684,,tube,13.79,1370.0,0.064,7.7,,457.0,2.8
17560,Thompson,tube,3.45,,0.0334,10.3,10.3,762.0,4.5
5788,,,6.89,5588.0,0.0682,,23.5,610.0,3.3
3903,Beus,annulus,15.51,1355.0,0.1378,5.6,,2134.0,1.9
15876,Thompson,tube,12.07,,-0.3155,1.9,1.9,152.0,3.5
16694,Janssen,,6.89,2292.0,0.1396,12.7,42.3,,2.6
20040,Beus,,,,0.1326,5.6,15.2,2134.0,2.1
22069,Thompson,tube,,1000.0,-0.0466,10.3,10.3,762.0,6.0
7981,Thompson,tube,6.89,2401.0,-0.0455,3.6,3.6,76.0,3.5
18734,Janssen,annulus,6.92,1533.0,0.1384,8.5,24.6,1778.0,3.7
2979,Thompson,tube,18.96,2075.0,-0.1403,1.9,1.9,,4.7
30391,,tube,13.79,5588.0,-0.0349,5.7,,625.0,5.9
19913,Thompson,tube,10.34,3960.0,-0.0997,10.3,10.3,762.0,4.0
5877,Thompson,tube,11.07,4069.0,0.0747,5.6,5.6,432.0,2.9
2361,Weatherhead,tube,13.79,1326.0,-0.044,,,457.0,2.4
11570,Peskov,tube,12.0,2200.0,-0.0297,10.0,10.0,565.0,4.1
15769,Thompson,tube,13.79,2116.0,0.0139,7.8,7.8,591.0,2.4
2370,Thompson,tube,13.79,2780.0,0.1418,4.7,4.7,305.0,2.2
2271,Beus,annulus,8.27,1360.0,0.107,5.6,,2134.0,1.5
12470,Thompson,,,3648.0,-0.1146,5.7,5.7,625.0,3.9
2416,Thompson,tube,6.83,3513.0,0.0033,10.8,10.8,432.0,3.9
8968,Thompson,tube,6.79,1017.0,0.0124,10.8,10.8,216.0,5.7
729,Weatherhead,,13.79,1655.0,0.0103,,7.7,457.0,3.5
5853,Thompson,tube,13.79,1356.0,0.134,,7.7,457.0,1.6
23634,Thompson,tube,13.79,3811.0,-0.3247,,4.7,318.0,3.2
13954,,tube,7.07,2021.0,0.0369,10.8,10.8,216.0,3.9
6629,Janssen,annulus,6.92,2292.0,0.0113,12.7,42.3,1778.0,2.0
1989,Beus,annulus,11.03,1355.0,0.0747,5.6,15.2,2134.0,1.6
22598,Janssen,annulus,6.87,,0.1579,8.5,22.3,2591.0,1.1
8067,Thompson,tube,7.03,3784.0,-0.0015,10.8,10.8,432.0,4.8
14493,Thompson,tube,13.79,2455.0,-0.0518,1.9,1.9,152.0,6.8
11491,Thompson,tube,13.79,5357.0,-0.0518,5.7,5.7,625.0,4.8
11219,Thompson,tube,6.89,1370.0,-0.0594,,37.5,1953.0,3.5
18260,Weatherhead,tube,,678.0,0.0295,11.1,11.1,457.0,2.8
7539,Thompson,tube,6.89,3852.0,-0.0808,23.6,23.6,610.0,2.9
5307,,plate,,2000.0,-0.0204,15.0,120.0,10.0,4.1
12081,Thompson,tube,13.79,1736.0,0.1177,,7.8,591.0,2.0
22284,Thompson,tube,6.89,7893.0,-0.0407,10.3,,762.0,7.2
30018,,tube,10.34,4815.0,-0.1428,10.3,10.3,762.0,6.4
3463,Janssen,annulus,6.92,1533.0,-0.0415,,,2743.0,5.0
8760,Weatherhead,tube,13.79,2645.0,0.0036,7.7,7.7,457.0,2.7
26173,Thompson,tube,7.0,4096.0,-0.0415,10.8,10.8,864.0,5.4
598,Thompson,,13.79,1994.0,-0.1674,11.1,11.1,457.0,3.3
313,Thompson,tube,,2184.0,-0.0847,1.9,1.9,152.0,2.0
6144,,tube,6.86,4056.0,0.0049,10.8,10.8,864.0,3.9
11510,Janssen,annulus,4.13,2278.0,0.1206,,,1778.0,2.0
12641,Thompson,tube,17.24,1953.0,-0.1515,,1.9,696.0,2.2
28055,Weatherhead,,13.79,,0.1698,,7.7,457.0,1.9
20657,Janssen,annulus,6.89,,0.1388,8.5,22.3,1829.0,6.9
9835,Thompson,tube,6.93,1926.0,0.165,5.6,5.6,216.0,4.9
3037,Janssen,annulus,6.92,3052.0,0.0253,,24.6,1778.0,2.3
1515,Thompson,tube,6.89,6795.0,-0.0417,10.3,10.3,794.0,6.7
12624,,tube,13.79,2048.0,0.0808,7.7,7.7,457.0,2.9
11095,,tube,,5249.0,-0.3491,5.7,,625.0,7.8
25651,Thompson,,13.79,1383.0,0.0406,7.8,7.8,591.0,2.0
19791,Thompson,tube,11.0,,0.0947,11.5,11.5,914.0,9.7
386,Thompson,,6.86,1031.0,0.0823,,10.8,216.0,3.3
16800,Weatherhead,tube,13.79,686.0,0.0145,11.1,11.1,457.0,2.5
23901,,,13.79,2034.0,-0.0276,7.7,7.7,,3.5
23311,Thompson,tube,6.79,1858.0,0.0005,10.8,10.8,216.0,4.7
18483,Janssen,,6.89,5642.0,0.1504,6.4,15.9,914.0,1.0
5685,Thompson,tube,,,-0.0251,10.3,10.3,,5.8
17537,Thompson,tube,6.83,4069.0,-0.0188,10.8,10.8,,4.8
4200,Thompson,tube,6.86,3513.0,0.0117,,10.8,432.0,2.4
27336,,tube,,,-0.0478,10.3,10.3,762.0,4.8
29881,,tube,13.79,1763.0,0.0747,11.1,11.1,457.0,1.7
9481,Thompson,tube,6.72,,-0.044,10.8,10.8,864.0,8.4
21431,Thompson,tube,6.89,7459.0,0.0241,37.5,,1953.0,2.0
31571,,annulus,13.79,3679.0,0.0518,5.6,,2134.0,1.1
30392,Weatherhead,tube,,1356.0,-0.0573,,7.7,457.0,3.9
4094,,tube,,2387.0,-0.1209,4.7,4.7,305.0,12.7
6953,Thompson,tube,6.89,7880.0,-0.048,10.3,10.3,762.0,12.6
15269,,tube,10.0,1000.0,0.0328,10.0,10.0,,3.1
1887,Thompson,tube,6.89,1383.0,0.0705,37.5,37.5,1953.0,2.6
14801,Thompson,tube,13.79,903.0,0.0758,,4.7,,0.9
28638,Janssen,annulus,9.68,5547.0,0.0577,12.7,38.1,914.0,2.6
5309,Weatherhead,,13.79,677.0,-0.0154,11.1,11.1,,2.1
8233,Thompson,tube,6.89,,-0.0283,10.3,10.3,794.0,6.6
11141,Thompson,,13.79,2997.0,0.0455,7.8,7.8,591.0,2.8
7041,Thompson,tube,13.79,,0.0625,4.6,4.6,295.0,3.0
20032,Thompson,tube,10.34,4828.0,0.0487,10.3,10.3,762.0,2.8
11884,Thompson,tube,18.96,2658.0,0.1219,1.9,1.9,152.0,3.2
25339,Thompson,tube,6.89,2740.0,-0.0593,1.9,1.9,152.0,3.5
7092,Janssen,annulus,6.85,4986.0,-0.0078,12.7,38.1,914.0,3.2
18378,Thompson,tube,6.83,3513.0,0.1407,10.8,10.8,,6.7
2483,Thompson,tube,6.86,4136.0,0.0847,5.6,5.6,432.0,3.6
26993,Thompson,tube,6.86,1031.0,0.0334,10.8,,432.0,2.6
31392,,annulus,,1519.0,0.0126,12.7,42.3,2743.0,4.3
26479,Thompson,tube,0.1,,0.0344,1.0,,38.0,10.2
13577,Weatherhead,tube,13.79,,-0.0123,11.1,11.1,457.0,2.9
14490,Thompson,tube,13.79,1872.0,-0.1823,4.7,,318.0,4.9
25236,Thompson,tube,,2021.0,-0.0133,10.8,10.8,864.0,5.0
12697,,tube,13.79,1899.0,0.0833,4.7,,318.0,3.9
5212,,plate,0.2,1500.0,-0.0134,15.0,120.0,10.0,4.1
31493,,tube,13.79,1214.0,0.0196,,4.7,318.0,2.9
5695,Thompson,tube,,4001.0,0.0027,4.6,,,4.2
12788,Thompson,tube,13.79,1492.0,-0.0881,3.6,3.6,76.0,3.7
21934,Thompson,tube,13.79,2590.0,-0.0358,,1.9,152.0,4.7
7021,Weatherhead,tube,13.79,1899.0,-0.1756,11.1,11.1,,3.5
31458,Richenderfer,plate,0.1,5600.0,-0.0373,15.0,120.0,,5.5
4913,Beus,annulus,15.51,1500.0,-0.0135,5.6,,2134.0,4.6
9695,Williams,tube,15.17,1340.0,0.0714,9.5,9.5,1836.0,2.1
9389,Thompson,tube,13.79,,-0.1209,4.7,4.7,318.0,6.8
24587,Thompson,,,,-0.0651,10.3,,762.0,6.2
26779,Thompson,tube,13.79,6022.0,0.0758,4.7,4.7,,2.8
8110,Thompson,tube,6.89,,-0.0089,23.6,23.6,610.0,3.5
14775,Thompson,tube,,1370.0,0.0049,3.6,,76.0,4.4
31147,Janssen,annulus,4.16,749.0,0.1253,,42.3,1778.0,2.0
6126,,,13.79,1736.0,0.0484,,7.7,457.0,2.6
20249,,,,4964.0,-0.3476,4.7,4.7,318.0,4.4
15080,Thompson,tube,10.34,3974.0,-0.0415,10.3,10.3,762.0,5.9
23588,Janssen,annulus,4.16,,0.1215,12.7,42.3,1778.0,2.6
893,Thompson,tube,7.03,4055.0,0.0192,4.6,,,4.4
1122,Janssen,annulus,6.89,2278.0,0.0886,12.7,42.3,1778.0,1.6
1140,Thompson,tube,13.79,,-0.2599,7.7,,,4.4
22707,Thompson,tube,15.51,2984.0,-0.0123,1.9,1.9,696.0,2.7
22973,Thompson,,13.79,,-0.3469,7.7,7.7,,6.5
9779,Peskov,tube,,1842.0,-0.1392,10.0,10.0,,3.3
5022,Thompson,,3.45,5249.0,-0.0466,5.7,120.0,10.0,5.2
4181,Janssen,annulus,6.89,1533.0,0.188,8.5,22.3,1829.0,2.2
27962,Thompson,tube,13.79,4164.0,-0.0071,4.7,4.7,318.0,3.2
5321,Beus,,15.51,,0.0253,,,,1.8
24127,Janssen,annulus,6.89,5533.0,-0.0071,6.4,,914.0,3.0
27997,Thompson,,11.1,1356.0,0.1742,11.5,,1524.0,2.5
12775,Thompson,tube,,,-0.0553,1.9,1.9,696.0,2.3
20294,Thompson,tube,4.1,4069.0,0.0117,10.8,10.8,864.0,4.9
12216,Thompson,tube,13.79,,0.0484,7.8,7.8,591.0,2.3
19188,Janssen,annulus,,2767.0,0.0423,12.7,38.1,914.0,2.9
7585,Thompson,tube,13.79,4448.0,-0.0442,4.7,4.7,305.0,4.9
12766,Thompson,tube,13.79,,0.0374,4.7,4.7,318.0,3.2
8362,,tube,,903.0,-0.3206,4.7,4.7,318.0,2.2
13073,Thompson,tube,13.79,4679.0,0.0863,4.7,4.7,318.0,4.7
1332,Thompson,tube,13.79,2760.0,-0.1534,,4.7,305.0,4.3
30102,Thompson,,6.89,6198.0,0.0073,4.7,4.7,318.0,6.8
10692,,tube,13.79,678.0,-0.1488,7.7,,457.0,4.3
26013,,annulus,6.96,2807.0,-0.0644,6.4,15.9,914.0,6.8
12515,,tube,6.89,5737.0,-0.0237,,10.3,762.0,5.5
1826,Thompson,tube,6.89,4896.0,0.0062,4.7,4.7,318.0,4.2
9555,Williams,tube,13.79,1356.0,0.0901,9.5,9.5,1836.0,1.9
20447,Thompson,tube,13.79,678.0,0.0876,7.7,7.7,457.0,1.9
25200,Peskov,tube,14.0,1944.0,0.0015,10.0,10.0,890.0,2.7
4953,Beus,annulus,13.79,,-0.0135,,15.2,2134.0,3.0
7079,Thompson,tube,,1899.0,-0.0428,4.7,4.7,318.0,4.5
5361,,tube,15.51,,-0.0638,1.9,1.9,696.0,2.3
12275,Thompson,tube,13.79,,-0.1303,,7.7,457.0,4.4
10377,Thompson,,17.24,2821.0,-0.0858,1.9,1.9,696.0,3.7
9089,Thompson,tube,13.79,1193.0,0.1286,7.8,7.8,591.0,1.2
19430,Thompson,tube,6.79,3784.0,-0.0237,10.8,10.8,432.0,5.4
10086,Thompson,tube,13.79,4069.0,-0.0263,,4.7,318.0,4.6
15746,Thompson,tube,3.83,3865.0,0.0865,5.6,5.6,216.0,6.8
14299,Thompson,tube,11.03,2034.0,0.0747,11.5,11.5,914.0,2.9
27039,Thompson,,18.96,,-0.1943,1.9,1.9,,4.5
16488,Thompson,tube,13.79,,0.0463,4.7,4.7,305.0,2.5
10109,Thompson,tube,15.51,3675.0,-0.0878,1.9,1.9,100.0,3.9
23854,Weatherhead,tube,13.79,1356.0,0.0243,11.1,11.1,,1.6
7228,Mortimore,annulus,,2698.0,-0.0233,5.0,13.3,2134.0,2.3
10807,Thompson,tube,13.79,3580.0,0.0833,4.7,4.7,318.0,2.6
30086,,tube,6.89,949.0,0.0648,37.5,37.5,1953.0,4.4
31101,Thompson,tube,13.79,,-0.1377,7.7,7.7,457.0,3.6
12513,Janssen,annulus,5.51,1519.0,0.0063,12.7,42.3,1778.0,4.3
19576,,tube,13.79,2604.0,-0.2387,7.7,7.7,,5.0
9341,,annulus,13.79,3998.0,-0.0394,5.6,15.2,2134.0,2.1
3330,Thompson,tube,13.79,1736.0,0.0374,7.8,7.8,591.0,2.6
30674,Beus,annulus,,1355.0,0.1233,5.6,15.2,2134.0,1.1
6973,,plate,0.51,1519.0,-0.0929,15.0,,10.0,9.2
24443,Thompson,,13.79,3784.0,0.0465,4.6,4.6,295.0,2.3
5639,Thompson,tube,,2875.0,-0.1515,,1.9,152.0,4.5
3338,,,6.89,2767.0,0.0403,12.7,38.1,737.0,2.8
11107,Thompson,tube,13.79,2319.0,0.1086,7.8,7.8,591.0,2.0
10850,Thompson,,11.07,2712.0,0.0611,5.6,5.6,2134.0,1.0
5803,Thompson,tube,6.89,1383.0,-0.1178,,23.6,610.0,4.5
1403,Peskov,tube,16.0,1944.0,-0.0514,10.0,10.0,1300.0,5.2
1905,Beus,annulus,15.51,2741.0,0.0409,5.6,15.2,2134.0,1.8
6655,Thompson,tube,6.86,4055.0,0.0113,5.6,5.6,432.0,4.2
20070,Williams,tube,13.79,2700.0,0.1114,9.5,9.5,,1.4
12854,Thompson,tube,17.24,2848.0,-0.074,1.9,1.9,152.0,5.9
30264,Thompson,,18.96,2889.0,-0.1977,1.9,1.9,152.0,4.3
16741,,tube,6.89,4069.0,0.0436,,11.5,2007.0,2.8
16101,Janssen,annulus,6.89,2794.0,0.0108,6.4,15.9,914.0,4.3
27236,Peskov,,14.0,1000.0,0.0229,10.0,10.0,1650.0,1.5
29800,Peskov,,10.0,1944.0,0.0103,10.0,10.0,400.0,5.2
18072,Thompson,tube,,6200.0,-0.1208,4.7,4.7,,12.1
31288,Thompson,tube,,3784.0,-0.363,1.9,1.9,696.0,1.8
18190,Weatherhead,,,1356.0,0.1802,,11.1,457.0,2.3
25827,Thompson,tube,,1017.0,0.1682,,,762.0,2.0
18685,Thompson,tube,6.89,2563.0,0.0141,8.0,8.0,610.0,6.8
19539,Janssen,annulus,6.91,,0.1933,8.5,22.3,2743.0,5.3
20555,Thompson,tube,13.79,7025.0,-0.2001,4.7,,318.0,3.3
21587,Thompson,tube,13.79,5249.0,-0.032,4.7,4.7,,5.0
4155,Thompson,tube,15.51,2319.0,-0.0925,1.9,1.9,,2.0
9345,Weatherhead,tube,13.79,690.0,-0.0514,,11.1,,3.1
7299,Thompson,tube,,3838.0,-0.0133,10.8,10.8,,4.9
1748,Thompson,tube,13.79,1438.0,0.0372,7.8,7.8,591.0,2.9
15608,Janssen,annulus,6.72,1750.0,0.1215,8.5,22.3,,3.2
86,Peskov,tube,,4055.0,-0.0028,10.0,10.0,660.0,5.6
25786,Thompson,tube,15.51,2997.0,-0.0015,1.9,,,3.9
24352,Thompson,tube,3.86,,0.0436,,,216.0,4.8
29656,Thompson,tube,15.51,3024.0,-0.0238,1.9,1.9,152.0,3.6
11090,Thompson,tube,,1899.0,0.0111,10.8,10.8,432.0,3.6
9263,,tube,,3282.0,-0.0669,1.9,,696.0,2.6
8078,,tube,6.86,2034.0,0.0113,10.8,10.8,432.0,3.0
5177,Thompson,tube,13.79,4204.0,-0.0379,4.7,,318.0,3.8
13772,Mortimore,annulus,13.79,,0.0446,5.0,13.3,2134.0,1.9
12096,Janssen,,6.92,1587.0,0.0945,8.5,,2591.0,3.3
2182,Thompson,tube,13.79,6022.0,-0.0335,,4.7,,4.8
2998,Weatherhead,tube,13.79,1410.0,-0.0111,7.7,7.7,457.0,3.0
13543,Thompson,tube,3.45,5886.0,-0.0251,10.3,,762.0,3.4
25560,Thompson,tube,11.03,2712.0,0.1198,11.5,11.5,1524.0,2.4
7971,Thompson,tube,6.89,,-0.0229,23.6,23.6,1972.0,3.9
31450,,tube,6.96,4092.0,0.0857,,10.8,,4.2
11838,Thompson,tube,12.07,4136.0,-0.025,1.9,1.9,152.0,3.8
27795,Thompson,tube,,705.0,0.0249,7.7,7.7,457.0,2.0
12445,Thompson,tube,6.89,3797.0,-0.0269,10.3,10.3,762.0,5.2
10941,Janssen,annulus,4.13,1505.0,0.1212,12.7,,1778.0,3.2
18830,,annulus,4.16,2292.0,0.0896,12.7,42.3,1778.0,3.3
21666,Thompson,tube,,,0.0424,10.8,,432.0,6.0
152,Thompson,tube,6.79,4096.0,-0.0188,10.8,10.8,432.0,5.5
19922,,,14.0,3056.0,0.0311,10.0,10.0,890.0,2.4
2373,,tube,12.07,3458.0,-0.0458,1.9,,152.0,4.0
2081,,tube,6.83,3513.0,0.0005,10.8,10.8,,3.8
10081,Thompson,tube,6.89,968.0,-0.0123,23.6,23.6,610.0,6.7
30664,Thompson,,,,-0.1224,1.9,1.9,,6.6
18874,Thompson,,6.89,2699.0,0.1538,23.6,,610.0,2.6
31022,Thompson,,6.9,,0.0003,10.8,,864.0,3.6
5783,Thompson,tube,13.79,6157.0,-0.1212,,4.7,318.0,6.7
30161,,tube,18.27,2740.0,-0.0434,3.0,,,3.7
26152,Beus,annulus,11.03,3677.0,0.0238,5.6,,2134.0,1.1
10347,,annulus,6.89,2712.0,0.0088,4.6,,1778.0,9.1
22400,Thompson,tube,13.79,5262.0,-0.1441,4.7,4.7,318.0,4.6
25367,Janssen,annulus,9.65,5600.0,-0.0466,6.4,15.9,,4.3
8365,Thompson,tube,18.96,2767.0,-0.2874,1.9,1.9,152.0,3.9
27617,Thompson,tube,13.79,2780.0,0.1077,4.7,,305.0,2.5
7216,Janssen,,6.89,,0.1933,8.5,22.3,2743.0,2.9
12382,Thompson,tube,,1035.0,0.0372,7.8,7.8,591.0,3.6
22000,,annulus,,,0.0187,12.7,38.1,,3.0
28872,Weatherhead,tube,13.79,1344.0,-0.0576,7.7,7.7,457.0,3.5
24542,Janssen,,9.68,5601.0,-0.0109,6.4,15.9,914.0,2.1
8393,Thompson,tube,13.79,1356.0,-0.1377,7.7,7.7,457.0,3.8
7212,Weatherhead,tube,,1682.0,0.1503,7.7,7.7,457.0,1.6
4899,Janssen,annulus,4.13,2292.0,0.0404,12.7,42.3,1778.0,4.1
19079,Thompson,tube,6.89,,-0.0134,23.6,23.6,610.0,4.4
546,Janssen,annulus,6.98,,0.1058,12.7,,737.0,2.0
8986,Peskov,tube,12.0,1000.0,0.0238,10.0,10.0,565.0,1.7
12823,Janssen,,9.65,5520.0,0.0028,,15.9,914.0,2.7
21101,Thompson,tube,3.45,5778.0,-0.0416,10.3,10.3,762.0,5.4
23291,Janssen,annulus,6.92,,0.1244,,22.3,2743.0,2.2
4513,Thompson,tube,8.27,859.0,0.007,3.0,3.0,150.0,1.8
21612,Beus,annulus,11.03,3665.0,0.0537,5.6,15.2,2134.0,3.7
5802,,,,,-0.0278,5.6,,2134.0,3.0
9202,Thompson,,10.34,,-0.118,,10.3,762.0,6.0
3118,Thompson,,,,0.0206,10.3,,762.0,3.9
10386,Thompson,tube,13.79,2061.0,0.0908,7.8,7.8,591.0,3.2
16736,Thompson,tube,18.96,2726.0,-0.1437,,1.9,152.0,2.9
16264,Thompson,tube,13.79,4964.0,-0.0168,4.7,4.7,318.0,4.8
14061,Thompson,tube,,639.0,0.0833,4.7,4.7,318.0,1.9
6662,,tube,13.79,2143.0,0.0085,7.8,7.8,591.0,2.3
3272,Thompson,tube,3.45,4787.0,-0.0395,10.3,10.3,762.0,5.4
5730,Janssen,annulus,6.9,1519.0,0.0036,12.7,42.3,,3.8
6647,Thompson,,,821.0,0.0231,,7.8,591.0,2.3
9849,Thompson,tube,,4055.0,0.0047,10.8,10.8,864.0,3.8
12332,Thompson,tube,13.79,2306.0,-0.0589,1.9,1.9,152.0,3.9
24026,Thompson,tube,10.34,5696.0,-0.0698,10.3,10.3,762.0,5.0
13430,Janssen,annulus,6.89,1519.0,0.1759,8.5,,1778.0,2.0
26006,,annulus,,1533.0,0.1018,,24.6,1778.0,2.1
15614,Thompson,tube,13.79,1682.0,0.0803,,4.7,318.0,2.7
2735,Janssen,,6.92,,0.0537,,24.6,1778.0,4.3
21023,Thompson,tube,18.96,5500.0,-0.1674,,1.9,696.0,3.2
12841,Thompson,tube,13.79,861.0,-0.065,3.0,,35.0,2.6
15194,Janssen,annulus,6.89,2807.0,0.0329,6.4,15.9,914.0,2.0
9059,Thompson,tube,,5181.0,-0.1479,23.6,23.6,,5.9
7125,Williams,tube,,4062.0,0.097,9.5,9.5,1836.0,2.6
22609,Thompson,,,929.0,0.0808,7.7,7.7,457.0,2.7
9815,Thompson,,6.89,5249.0,-0.0254,5.7,5.7,625.0,8.9
9028,,tube,13.79,7975.0,0.0753,4.7,,318.0,2.5
8676,Williams,tube,13.79,2694.0,0.0147,9.5,,1836.0,1.1
12758,Thompson,tube,0.1,,0.0077,1.0,1.0,25.0,5.1
3361,Thompson,tube,3.45,7880.0,0.0102,10.3,10.3,762.0,4.6
2216,,,3.45,3743.0,0.0867,10.3,10.3,762.0,6.0
15738,Thompson,tube,6.93,3784.0,-0.0479,10.8,10.8,,4.5
9063,Thompson,,11.03,2034.0,0.1184,11.5,11.5,,1.5
30160,,tube,,4964.0,0.1077,4.7,4.7,,2.6
10314,Thompson,,11.03,3391.0,0.0426,11.5,,914.0,3.9
6771,Thompson,tube,10.34,5967.0,-0.1258,10.3,10.3,762.0,4.4
30274,,tube,6.89,3770.0,-0.0453,12.8,,,4.2
24945,,,13.79,2704.0,0.0208,9.5,9.5,1836.0,2.0
15127,,tube,13.79,1085.0,-0.112,4.7,4.7,318.0,2.2
5406,Thompson,tube,13.79,678.0,-0.3469,7.7,,457.0,7.3
7337,Thompson,tube,6.72,,0.0027,10.8,10.8,864.0,3.4
8207,Thompson,tube,6.89,3797.0,-0.0078,,23.6,610.0,4.1
20062,Thompson,tube,6.89,4055.0,0.1439,11.5,11.5,2007.0,4.4
22824,,,6.89,3052.0,0.0886,22.2,96.3,1778.0,2.7
10953,,,9.65,2292.0,0.1007,12.7,42.3,1778.0,3.8
20863,Thompson,tube,13.79,5249.0,-0.0533,,4.7,318.0,5.3
5690,,,13.79,1246.0,0.1406,7.7,7.7,457.0,1.8
19921,Thompson,tube,18.27,842.0,-0.0069,3.0,3.0,,4.8
14218,Williams,tube,13.79,1335.0,0.1344,9.5,9.5,1836.0,2.9
2490,,,12.0,2000.0,-0.0465,10.0,,565.0,4.1
24597,Thompson,,13.79,3635.0,0.0001,1.9,1.9,152.0,4.3
24959,Thompson,tube,,2767.0,0.007,,3.6,76.0,3.7
16663,Thompson,tube,6.9,4001.0,0.0611,10.8,,864.0,2.3
7319,Janssen,annulus,6.89,3038.0,-0.1521,,24.6,1778.0,2.2
21146,Thompson,tube,,1410.0,0.0839,7.8,,591.0,2.0
21519,Thompson,tube,13.79,,0.0669,4.6,4.6,,2.8
26421,Thompson,tube,6.89,2699.0,0.0015,,12.4,610.0,3.6
9981,Thompson,,13.79,1397.0,-0.0232,,4.7,318.0,2.9
30652,Weatherhead,,13.79,932.0,-0.2364,,7.7,,3.2
10474,Janssen,,6.89,5588.0,0.1167,8.5,24.6,1778.0,2.0
16495,,tube,13.79,4774.0,-0.0313,4.7,4.7,305.0,6.6
16291,Thompson,tube,13.79,4774.0,0.0441,4.7,4.7,318.0,3.5
698,Thompson,,6.79,4059.0,0.0133,10.8,10.8,864.0,3.7
33,,tube,4.96,4136.0,-0.0668,5.6,,432.0,3.5
13886,Peskov,tube,12.0,,0.0091,,10.0,1000.0,3.2
15094,,tube,6.89,1370.0,-0.0629,,23.6,610.0,4.4
6186,Beus,annulus,,1337.0,0.2195,5.6,15.2,2134.0,1.1
19210,Thompson,,13.79,1063.0,-0.0168,4.7,4.7,318.0,3.0
1201,,tube,6.86,2034.0,-0.0442,10.8,10.8,432.0,6.7
26910,,annulus,6.92,1519.0,0.1975,,,,2.1
15396,Janssen,annulus,6.89,830.0,0.1215,12.7,38.1,737.0,2.3
3500,Thompson,tube,6.89,3784.0,-0.0025,,,762.0,4.6
2326,Thompson,tube,13.79,2061.0,0.1584,,7.8,591.0,3.8
27834,,tube,13.79,1953.0,-0.0898,11.1,11.1,457.0,3.6
21729,Thompson,tube,,4042.0,-0.0692,1.9,1.9,152.0,4.8
16558,Thompson,tube,,6062.0,-0.1221,10.3,10.3,762.0,7.9
21955,Thompson,,13.79,,-0.0398,1.9,1.9,696.0,2.7
1697,Janssen,annulus,6.85,1519.0,0.0208,12.7,42.3,2743.0,2.1
18797,Beus,,15.51,3677.0,0.0912,,15.2,2134.0,1.1
4087,Weatherhead,tube,13.79,686.0,0.0249,11.1,11.1,457.0,2.4
23675,Williams,tube,15.17,4054.0,0.0415,9.5,9.5,,2.2
